Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-11-04,11.965,11.965,10.395,10.64,10.64,4393,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-07,10.225,10.685,10.08,10.32,10.32,2905,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-08,9.865,11.31215,9.02,9.195,9.195,2347,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-09,9.7325,10.98,9.7325,10.7475,10.7475,1500,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-10,11.1,11.705,8.19,8.19,8.19,3808,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-11,6.0975,6.385,5.945,6.18,6.18,12306,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-14,5.855,6.09,5.6975,5.67625,5.67625,7323,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-15,5.4125,9.38425,5.01,5.2275,5.2275,6658,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-16,5.4375,6.01,5.4375,5.7625,5.7625,22464,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-17,5.4725,6.26,5.435,6.02625,6.02625,6553,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-18,6.0825,6.645,5.975,6.56875,6.56875,1810,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-21,6.7875,6.98,6.645,6.63375,6.63375,27227,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-22,6.7025,6.705,5.58241,6.04625,6.04625,400,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-23,5.68,5.7025,5.295,5.48125,5.48125,9629,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-24,5.2325,5.2425,5.1775,5.17,5.17,155,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-25,5.255,5.4175,5.255,5.29,5.29,9374,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-28,5.635,5.635,5.4925,5.6625,5.6625,644,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-29,5.7025,6.75013,5.7025,6.18125,6.18125,530,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-30,5.95125,5.95125,5.95125,5.95125,5.95125,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-12-01,4.702,4.738,4.412,4.6,4.6,671,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
